village
keude
bakongan
keudebakongan
ujong
mangki
ujongmangki
padang
ujongpadang
gampong
drien
gampongdrien
darul
ikhsan
darulikhsan
beurahan
padangbeurahan
baro
gampongbaro
fajar
harapan
fajarharapan
krueng
batee
kruengbatee
pasi
kuala
asahan
pasikualaasahan
gunung
pulo
gunungpulo
ie
i
puloiei
jambo
manyang
jambomanyang
simpang
empat
simpangempat
limau
purut
limaupurut
kambing
pulokambing
kampung
paya
kampungpaya
batu
kruengbatu
kluet
kruengkluet
alur
mas
alurmas
tinggi
kampungtinggi
ruak
lhee
simpanglhee
suaq
geuringgeng
suaqgeuringgeng
ba'u
pasikualaba'u
kedai
kedaipadang
kotafajar
pudung
gunungpudung
bakung
suaqbakung
rantau
binuang
rantaubinuang
barat
daya
baratdaya
sialang
kapeh
puloie
runding
kedairunding
kandang
kedaikandang
luar
gampongluar
ujung
jua
meurapat
pasimeurapat
pasir
ujungpasir
geulumbuk
pasie
lembang
pasielembang
ujungpadang
indra
damai
indradamai
bakau
hulu
bakauhulu
padangbakau
manggis
manggisharapan
pasar
lama
pasarlama
apha
ujungbatu
pawoh
dalam
kota
palak
kotapalak
cacang
tengah
pisang
tengahpisang
hulupisang
baru
tengahbaru
lembah
lembahbaru
padangbaru
kuta
buloh
ii
kutabulohii
kutabulohi
dingen
iedingen
jalo
drienjalo
papeun
jambopapeun
buket
meuh
buketmeuh
blang
blangkuala
rot
teungoh
rotteungoh
alue
aluebaro
ladang
tuha
ladangtuha
lhok
mamplam
lhokmamplam
arun
tunggai
aruntunggai
blangteungoh
bladeh
blangbladeh
buboh
iebuboh
meukek
keudemeukek
kutabaro
tanjung
tanjungharapan
labuhan
tarok
labuhantarok
aman
lhokaman
meutuah
aluemeutuah
ladangbaro
labuhantarokii
subarang
kutabaru
ketek
gunungketek
panton
luas
ladangpantonluas
madat
seumerah
alurseumerah
cut
gunungcut
pinang
alurpinang
kutablang
bateetunggai
tanah
ujungtanah
ujungkampung
jilatang
lubuk
layu
lubuklayu
suaqhulu
tampang
payonan
gadang
payonangadang
kasik
putih
ladangkasikputih
air
hilir.
airsialanghilir.
airsialanghulu
airsialangtengah
balai
arafah
sikulat
sawang
sawangi
meuligo
lhokpawoh
sawangii
karang
ujungkarang
trieng
meuduro
baroh
triengmeudurobaroh
tunong
triengmeudurotunong
pantonluas
tiga
simpangtiga
geulinggang
blanggeulinggang
mutiara
sawangba'u
keutapang
lhokkeutapang
hilir
jamboapha
tepi
tepiair
bengkuang
lhokbengkuang
kerambil
gunungkerambil
berudang
airberudang
itam
batuitam
panjupian
rukam
lhokrukam
airpinang
timur
lhokbengkuangtimur
trumon
keudetrumon
tanoh
ujongtanoh
sigleng
meudama
iemeudama
teupin
teupintinggi
bilie
pantonbilie
kutapadang
raket
gampongteungoh
seuneubok
jaya
seuneubokjaya
padangharapan
ladangteungoh
pucok
pucokkrueng
silolo
kampungbaru
bili
pantonbili
ateuk
payaateuk
mata
mataie
ujongbatee
lhoksialangcut
mirah
iemirah
rasian
pasierasian
ujungpadangrasian
kalee
kruengkalee
rayeuk
lhoksialangrayeuk
gajah
teupingajah
ujungpadangasahan
puloieii
pante
raja
panteraja
peulumat
tengahpeulumat
payapeulumat
padangpeulumat
aur
aurpeulumat
saring
limausaring
beutong
peuneulop
rotan
gunungrotan
keumumu
keumumuhilir
keumumuhulu
seberang
keumumuseberang
indah
sawangindah
tutong
iboh
teungohiboh
peulokan
kutaiboh
blangbaru
poroh
blangporoh
suak
lokan
suaklokan
iku
lhueng
ikulhueng
kutatrieng
geulima
pantegeulima
pantonpawoh
meucanang
bateemeucanang
rubek
pantonrubek
koto
keujrun
alurkeujrun
papan
jambopapan
malaka
indarung
kotoindarung
siurai-urai
sawah
kampungsawah
kampungpadang
puloair
lawe
melang
lawemelang
mersak
dua
simpangdua
dapur
payadapur
sapik
alai
durian
kawan
duriankawan
lawesawah
buluh
didi
lawebuluhdidi
pucuk
pucuklembang
laba
payalaba
cimanok
lawecimanok
seubadeh
pasieseubadeh
rimba
ladangrimba
ujongpulorayeuk
tingkeum
sawahtingkeum
ujongpulocut
seuleukat
pinto
pintorimba
kruengluas
dalem
jambodalem
kapa
sesak
kapasesak
punto
seuneubokpunto
pusaka
seuneubokpusaka
bujok
alurbujok
titi
poben
titipoben
gadeng
buketgadeng
rambong
keuranji
seuneubokkeuranji
seuneubokalurbuloh
gunong
ujonggunongcut
ujonggunungrayeuk
keupok
jambokeupok
alurduamas
kapho
gunongkapho
kampong
kampongteungoh
pulopaya
cot
bayu
cotbayu
naca
jeureuneh
iejeureuneh
raya
lhokraya
engkeran
rumah
rumahkampung
bangun
pasirbangun
kubu
kongker
lawekongker
cingkam
kutacingkamii
muara
muarabaru
kutabatui
kutacingkami
kutabatuii
sempilang
lawesempilang
prapat
nunggul
prapatbatununggul
sepang
pulosepang
rih
mbelang
rihmbelang
kute
kutebatubaru
amin
darulamin
lubang
lawelubangindah
hamparan
batuhamparan
paye
munje
payemunje
ndapdap
pulondapdap
pasirnunggul
cingkham
mekhanggun
cingkhammekhanggun
pintu
khimbe
pintukhimbe
lawekongkerhilir
gadung
pulogadung
pasikh
pehkmate
pasikhpehkmate
nunang
pasikhnunang
deleng
kukusen
delengkukusen
bukit
merdeka
bukitmerdeka
darulaman
kesumpat
lawekesumpat
tua
gabungan
lawetuagabungan
sigala
lawesigalaii
lawesigalatimur
lawesigalabarat
suka
sukadamai
kutetengah
tanahbaru
kedataran
kedatarangabungan
parsaroan
gabunganparsaroan
loning
laweloninggabungan
laweloningaman
maju
sukamaju
makmur
lawetuamakmur
persatuan
lawetuapersatuan
serke
laweserke
rakat
lawerakat
sukajaya
enmiya
ratus
enmiyabatuduaratus
sebungke
sepakat
bukitsepakat
