district
bakongan
kluet
utara
kluetutara
selatan
kluetselatan
labuhan
haji
labuhanhaji
meukek
samadua
sawang
tapaktuan
trumon
pasi
raja
pasiraja
timur
labuhanhajitimur
barat
labuhanhajibarat
tengah
kluettengah
kluettimur
bakongantimur
trumontimur
kota
bahagia
kotabahagia
trumontengah
lawe
alas
lawealas
sigala-gala
lawesigala-gala
bambel
babussalam
badar
babul
makmur
babulmakmur
darul
hasanah
darulhasanah
bulan
lawebulan
bukit
tusam
bukittusam
semadam
rahmah
babulrahmah
ketambe
deleng
pokhkisen
delengpokhkisen
sumur
lawesumur
tanoh
tanohalas
leuser
aman
darulaman
julok
idi
rayeuk
idirayeuk
birem
bayeun
birembayeun
serbajadi
nurussalam
peureulak
rantau
selamat
rantauselamat
simpang
ulim
simpangulim
rantaupeureulak
pante
bidari
pantebidari
madat
indra
makmu
indramakmu
tunong
iditunong
banda
alam
bandaalam
peudawa
peureulaktimur
peureulakbarat
sungai
raya
sungairaya
jernih
simpangjernih
ihsan
darulihsan
falah
darulfalah
iditimur
peunaron
linge
silih
nara
silihnara
bebesen
pegasing
bintang
ketol
kebayakan
kute
panang
kutepanang
celala
laut
tawar
lauttawar
atu
lintang
atulintang
jagong
jeget
jagongjeget
bies
rusip
antara
rusipantara
johan
pahwalan
johanpahwalan
kaway
xvi
kawayxvi
mas
sungaimas
woyla
samatiga
bubon
arongan
lambalek
aronganlambalek
ceureumen
panteceureumen
meureubo
woylabarat
woylatimur
panton
reu
pantonreu
lhoong
lhoknga
indrapuri
seulimeum
montasik
sukamakmur
imarah
darulimarah
peukan
bada
peukanbada
mesjid
mesjidraya
ingin
jaya
inginjaya
kuta
baro
kutabaro
darussalam
pulo
aceh
puloaceh
lembah
seulawah
lembahseulawah
jantho
kotajantho
cot
glie
kotacotglie
malaka
kutamalaka
tiga
simpangtiga
kamal
darulkamal
baitussalam
krueng
barona
kruengbaronajaya
leupung
blang
blangbintang
batee
delima
geumpang
geulumpang
geulumpangtiga
indrajaya
kembang
tanjong
kembangtanjong
sigli
kotasigli
mila
muara
muaratiga
mutiara
padang
tiji
padangtiji
peukanbaro
pidie
sakti
tangse
tiro/truseb
keumala
mutiaratimur
grong-grong
mane
glumpang
glumpangbaro
titeue
baktiya
dewantara
kutamakmur
lhoksukon
matangkuli
batu
muarabatu
meurah
mulia
meurahmulia
samudera
seunuddon
syamtalira
aron
syamtaliraaron
bayu
syamtalirabayu
tanah
luas
tanahluas
pasir
tanahpasir
t.
jambo
aye
t.jamboaye
nisam
girek
cotgirek
langkahan
baktiyabarat
paya
bakong
payabakong
nibong
kramat
simpangkramat
lapang
pirak
piraktimur
geuredong
pase
geuredongpase
bandabaro
nisamantara
simeulue
simeuluetengah
salang
teupah
teupahbarat
simeuluetimur
teluk
dalam
telukdalam
simeuluebarat
teupahselatan
alapan
teupahtengah
cut
simeuluecut
pulau
banyak
pulaubanyak
kanan
simpangkanan
singkil
gunung
meriah
gunungmeriah
baharu
kotabaharu
singkilutara
danau
paris
danauparis
suro
suromakmur
singkohor
kuala
baru
kualabaru
pulaubanyakbarat
samalanga
jeunieb
peudada
jeumpa
peusangan
gandapura
pandrah
juli
jangka
mamplam
simpangmamplam
peulimbang
juang
kotajuang
siblah
peusangansiblahkrueng
peusanganselatan
kutablang
blangpidie
tangan-tangan
manggeng
susoh
kualabatee
babah
rot
babahrot
setia
sabil
lembahsabil
blangkejeren
kutapanjang
rikit
gaib
rikitgaib
terangun
pining
blangpegayon
puteri
betung
puteribetung
dabun
gelang
dabungelang
blangjerango
teripe
teripejaya
pantan
cuaca
pantancuaca
teunom
sabee
kruengsabee
bhakti
setiabhakti
sampoiniet
panga
hikmah
darulhikmah
pasie
pasieraya
seunagan
seunagantimur
beutong
darulmakmur
suka
makmue
sukamakmue
pesisir
kualapesisir
tadu
taduraya
tripa
tripamakmur
ateuh
banggalang
beutongateuhbanggalang
manyak
payed
manyakpayed
bendahara
karang
karangbaru
seruway
kualasinpang
kotakualasinpang
kejuruan
muda
kejuruanmuda
tamiang
hulu
tamianghulu
bandamulia
bandar
pusaka
bandarpusaka
tenggulun
sekerak
pintu
rime
gayo
pinturimegayo
permata
syiah
utama
syiahutama
wih
pesam
wihpesam
timang
gajah
timanggajah
bener
kelipah
benerkelipah
mesidah
putih
gajahputih
meureudu
buaya
jangkabuaya
dua
bandardua
meurahdua
bandarbaru
panteraja
trienggadeng
baiturrahman
kutaalam
meuraxa
syiahkuala
lueng
bata
luengbata
kutaraja
bandaraya
jayabaru
ulee
kareng
uleekareng
sukakarya
sukajaya
muaradua
bandasakti
mangat
blangmangat
satu
muarasatu
langsa
langsatimur
langsabarat
langsakota
lama
langsalama
langsabaro
kiri
simpangkiri
penanggalan
rundeng
sultan
daulat
sultandaulat
longkib
barus
sorkam
pandan
pinangsori
manduamas
kolang
tapian
nauli
tapiannauli
sibabangun
sosorgadong
sorkambarat
sirandorung
andam
dewi
andamdewi
sitahuis
tukka
badiri
pasaribu
tobing
pasaributobing
barusutara
bangun
sukabangun
lumut
sarudik
tarutung
siatas
barita
siatasbarita
adian
koting
adiankoting
sipoholon
pahae
julu
pahaejulu
jae
pahaejae
simangumban
purba
tua
purbatua
siborong-borong
pagaran
parmonangan
sipahutar
pangaribuan
garoga
angkola
angkolabarat
batang
toru
batangtoru
angkolatimur
sipirok
saipar
dolok
hole
saipardolokhole
angkolaselatan
batangangkola
arse
marancar
sayur
matinggi
sayurmatinggi
aek
bilah
aekbilah
muarabatangtoru
tano
tombangan
tanotombanganangkola
sangkunur
angkolasangkunur
tais
angkolamuaratais
hiliduho
gido
idanogawo
bawolato
hiliserangkai
botomuzoi
ulugawo
ma'u
somolo-molo
sogae'adu
bahorok
salapian
sei
bingai
seibingai
binjai
selesai
stabat
wampu
secanggang
hinai
tanjung
pura
tanjungpura
tualang
padangtualang
gebang
babalan
pangkalan
susu
pangkalansusu
besitang
lepan
seilepan
berandan
berandanbarat
serangan
batangserangan
sawit
seberang
sawitseberang
sirapit
kutambaru
pematang
pematangjaya
kabanjahe
berastagi
barusjahe
tigapanah
merek
munte
juhar
tigabinanga
